Time,Protocol,Length,Anomaly
0.716755,0,42,-1
0.716755,0,42,-1
1.741168,0,42,-1
2.662411,0,42,-1
2.662411,0,42,-1
2.733764,2,68,-1
2.734065,2,68,-1
2.738014,2,290,-1
2.738308,2,116,-1
2.975984,2,76,-1
2.976297,2,76,-1
2.978869,2,143,-1
2.979156,2,143,-1
2.980057,2,76,-1
2.982914,2,143,-1
2.983812,2,76,-1
2.984229,2,76,-1
2.986831,2,143,-1
2.986902,2,143,-1
3.026068,2,149,-1
3.026525,2,112,-1
3.10904,2,149,-1
3.10904,2,108,-1
3.109547,2,108,-1
3.685102,0,42,-1
3.685102,0,42,-1
4.709693,0,42,-1
4.709693,0,42,-1
7.299483,2,74,-1
7.299784,2,74,-1
7.302826,2,451,-1
7.303163,2,202,-1
7.480767,2,78,-1
7.481073,2,78,-1
7.4841,2,110,-1
7.487025,2,258,-1
7.856087,2,88,-1
7.856298,2,88,-1
7.859307,2,148,-1
7.859422,2,104,-1
7.994711,2,75,-1
7.994919,2,75,-1
7.998051,2,125,-1
7.998169,2,91,-1
8.679759,2,86,-1
8.680057,2,86,-1
8.682906,2,146,-1
8.683591,2,102,-1
8.852529,2,75,-1
8.852802,2,75,-1
8.855448,2,125,-1
8.855738,2,91,-1
9.445032,1,364,-1
9.445192,0,42,-1
9.522183,0,42,-1
9.624205,0,42,-1
9.793291,2,85,-1
9.79347,2,85,-1
9.795664,2,195,-1
9.796929,2,151,-1
9.829343,0,42,-1
10.551867,2,74,-1
10.552024,2,74,-1
10.555072,2,374,-1
10.555225,2,334,-1
10.599264,2,95,-1
10.599501,2,95,-1
10.602157,2,155,-1
10.602344,2,159,-1
10.658436,0,42,-1
10.788432,2,74,-1
10.788617,2,74,-1
10.788904,2,91,-1
10.789064,2,91,-1
10.791268,2,152,-1
10.791684,2,106,-1
10.792032,2,151,-1
10.792357,2,267,-1
10.900531,2,78,-1
10.900809,2,78,-1
10.90377,2,110,-1
11.097376,2,258,-1
11.572922,0,42,-1
11.832515,2,84,-1
11.832641,2,84,-1
